id,TT_kz,TT_ru,TT_en,SN_kz,SN_ru,SN_en,BT_kz,BT_ru,BT_en,NT_kz,NT_ru,NT_en,RT_kz,RT_ru,RT_en,UF_kz,UF_ru,UF_en,PT_kz,PT_ru,PT_en,LE_kz,LE_ru,LE_en
1,Әскери операция,Военная операция,Military operation,Жоспарлы әскери іс-қимылдардың жиынтығы,Комплекс запланированных боевых действий,A set of planned military actions,Соғыс әрекеті,Военные действия,War action,Тактикалық операция,Тактическая операция,Tactical operation,Стратегия,Strategy,Strategy,Боевая операция,Боевая операция,Combat mission,Кампания,Кампания,Campaign,Әскери миссия,Военная миссия,Military mission
2,Тактикалық операция,Тактическая операция,Tactical operation,Белгілі аймақта жүргізілетін әскери іс-қимылдар жиынтығы,Операция в ограниченной зоне действий,Operation conducted in a limited area,Әскери операция,Военная операция,Military operation,Шабуыл операциясы,Наступательная операция,Offensive operation,Тактика,Tactics,Tactics,Тактикалық іс-қимыл,Тактическое действие,Tactical action,Әскери жоспар,Военный план,Military plan,Тактикалық миссия,Тактическая миссия,Tactical mission
3,Стратегия,Стратегия,Strategy,Ұзақ мерзімді әскери мақсаттарға жету жоспары,План достижения долгосрочных военных целей,Plan to achieve long-term military goals,Әскери жоспарлау,Военное планирование,Military planning,Операциялық стратегия,Операционная стратегия,Operational strategy,Тактика,Tactics,Tactics,Жалпы жоспар,Общий план,General plan,Соғыс кампаниясы,Военная кампания,War campaign,Әскери стратегия,Военная стратегия,Military strategy
4,Тактика,Тактика,Tactics,Әскери стратегияны іске асыру тәсілдері,Способы реализации стратегии,Methods of implementing strategy,Стратегия,Стратегия,Strategy,Маневр,Манёвр,Maneuver,Жаттығу,Учение,Training,Әскери әдіс,Военный метод,Military method,Жаттығу кезеңі,Фаза учений,Exercise phase,Тактикалық тәсіл,Тактический приём,Tactical method
5,Қару жүйесі,Оружейная система,Weapon system,Қару түрлерінің өзара байланысқан жиынтығы,Совокупность взаимосвязанных видов оружия,A combination of interrelated weapon types,Әскери техника,Военная техника,Military equipment,Зымыран жүйесі,Ракетная система,Missile system,Оқ-дәрі,Боеприпас,Ammunition,Қару түрі,Тип оружия,Weapon type,Қару-жарақ,Вооружение,Armament,Қару кешені,Комплекс вооружения,Weapon complex
7,Бронетехника,Бронетехника,Armored vehicles,Соққыны сіңіретін қорғаныс көліктері,Защищённые боевые машины,Protected combat vehicles,Әскери техника,Военная техника,Military equipment,Танк,Tank,Tank,Жаяу әскер машинасы,БМП,Infantry fighting vehicle,Бронды көлік,Бронированная машина,Armored car,Бөлім техникасы,Техника подразделения,Unit equipment,Броньды көлік,Бронированный транспорт,Armored transport
8,Танк,Танк,Tank,Жер үсті соғысында қолданылатын ауыр техника,Тяжёлая техника для наземных сражений,Heavy equipment for ground battles,Бронетехника,Бронетехника,Armored vehicles,Жеңіл танк,Лёгкий танк,Light tank,Зеңбірек,Пушка,Cannon,Сауытты машина,Бронированная машина,Armored machine,Механикаланған бөлімше,Механизированное подразделение,Mechanized unit,Броньды машина,Armored vehicle,Armored vehicle
9,Зеңбірек,Пушка,Cannon,Қашықтықтағы нысаналарды атуға арналған қару,Орудие для поражения целей на расстоянии,A weapon for striking distant targets,Қару жүйесі,Оружейная система,Weapon system,Өздігінен жүретін зеңбірек,Самоходная пушка,Self-propelled gun,Мина атқыш,Миномёт,Mortar,Артиллерия,Артиллерия,Artillery,Артиллерия бөлімшесі,Подразделение артиллерии,Artillery unit,Зеңбірек жүйесі,Система пушек,Cannon system
10,Артиллерия,Артиллерия,Artillery,Ұзақ қашықтықтан ататын қарулар жүйесі,Система дальнобойных орудий,System of long-range weapons,Қару жүйесі,Оружейная система,Weapon system,Өздігінен жүретін артиллерия,Самоходная артиллерия,Self-propelled artillery,Миномет,Mortar,Mortar,Зеңбірек,Пушка,Cannon,Әскери бөлім,Воинская часть,Military unit,Артиллериялық жүйе,Артиллерийская система,Artillery system
11,Миномет,Миномет,Mortar,Жақын қашықтықта атыс жүргізетін қару,Орудие для ближнего боя,Short-range fire weapon,Артиллерия,Артиллерия,Artillery,Жеңіл миномет,Лёгкий миномёт,Light mortar,Зеңбірек,Пушка,Cannon,Қол атысы,Ручное орудие,Handgun,Минометтік жүйе,Система минометов,Mortar system,Минометтік кешен,Миномётный комплекс,Mortar complex
12,Әуе күштері,Военно-воздушные силы,Air Force,Әуе кеңістігінде соғыс жүргізетін әскер түрі,Вид войск, ведущий боевые действия в воздухе,Military branch operating in airspace,Қарулы күштер,Вооружённые силы,Armed Forces,Бомбалау авиациясы,Бомбардировочная авиация,Bomber aviation,Әуе шабуылы,Воздушное нападение,Air strike,Әуе әскері,Воздушные войска,Air troops,Қарулы күш құрылымы,Структура вооружённых сил,Force branch,,
